instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
281908997,1101207,BANKEX25JUN63100CE,"BANKEX",0,2025-06-24,63100,0.05,30,CE,BFO-OPT,BFO
281802245,1100790,BANKEX25JUN62600CE,"BANKEX",0,2025-06-24,62600,0.05,30,CE,BFO-OPT,BFO
281836037,1100922,BANKEX25JUN62600PE,"BANKEX",0,2025-06-24,62600,0.05,30,PE,BFO-OPT,BFO
281874949,1101074,BANKEX25JUN63200CE,"BANKEX",0,2025-06-24,63200,0.05,30,CE,BFO-OPT,BFO
281905669,1101194,BANKEX25JUN63200PE,"BANKEX",0,2025-06-24,63200,0.05,30,PE,BFO-OPT,BFO
281840901,1100941,BANKEX25JUN62500CE,"BANKEX",0,2025-06-24,62500,0.05,30,CE,BFO-OPT,BFO
281874693,1101073,BANKEX25JUN62500PE,"BANKEX",0,2025-06-24,62500,0.05,30,PE,BFO-OPT,BFO
281800453,1100783,BANKEX25JUN63300PE,"BANKEX",0,2025-06-24,63300,0.05,30,PE,BFO-OPT,BFO
281918725,1101245,BANKEX25JUN63300CE,"BANKEX",0,2025-06-24,63300,0.05,30,CE,BFO-OPT,BFO
281793029,1100754,BANKEX25JUN62400CE,"BANKEX",0,2025-06-24,62400,0.05,30,CE,BFO-OPT,BFO
281825285,1100880,BANKEX25JUN62400PE,"BANKEX",0,2025-06-24,62400,0.05,30,PE,BFO-OPT,BFO
281883909,1101109,BANKEX25JUN63400CE,"BANKEX",0,2025-06-24,63400,0.05,30,CE,BFO-OPT,BFO
281913605,1101225,BANKEX25JUN63400PE,"BANKEX",0,2025-06-24,63400,0.05,30,PE,BFO-OPT,BFO
281830917,1100902,BANKEX25JUN62300CE,"BANKEX",0,2025-06-24,62300,0.05,30,CE,BFO-OPT,BFO
281864197,1101032,BANKEX25JUN62300PE,"BANKEX",0,2025-06-24,62300,0.05,30,PE,BFO-OPT,BFO
281810693,1100823,BANKEX25JUN63500PE,"BANKEX",0,2025-06-24,63500,0.05,30,PE,BFO-OPT,BFO
281929221,1101286,BANKEX25JUN63500CE,"BANKEX",0,2025-06-24,63500,0.05,30,CE,BFO-OPT,BFO
281815557,1100842,BANKEX25JUN62200PE,"BANKEX",0,2025-06-24,62200,0.05,30,PE,BFO-OPT,BFO
281869317,1101052,BANKEX25JUN62200CE,"BANKEX",0,2025-06-24,62200,0.05,30,CE,BFO-OPT,BFO
281893381,1101146,BANKEX25JUN63600CE,"BANKEX",0,2025-06-24,63600,0.05,30,CE,BFO-OPT,BFO
281924869,1101269,BANKEX25JUN63600PE,"BANKEX",0,2025-06-24,63600,0.05,30,PE,BFO-OPT,BFO
283586821,1107761,BANKEX25JUN63700CE,"BANKEX",0,2025-06-24,63700,0.05,30,CE,BFO-OPT,BFO
212769285,831130,BANKEX25JUN71500CE,"BANKEX",0,2025-06-24,71500,0.05,30,CE,BFO-OPT,BFO
212808965,831285,BANKEX25JUN71500PE,"BANKEX",0,2025-06-24,71500,0.05,30,PE,BFO-OPT,BFO
212677637,830772,BANKEX25JUN71400PE,"BANKEX",0,2025-06-24,71400,0.05,30,PE,BFO-OPT,BFO
212813573,831303,BANKEX25JUN71400CE,"BANKEX",0,2025-06-24,71400,0.05,30,CE,BFO-OPT,BFO
291086597,1137057,BANKEX25JUN71300CE,"BANKEX",0,2025-06-24,71300,0.05,30,CE,BFO-OPT,BFO
291155205,1137325,BANKEX25JUN71300PE,"BANKEX",0,2025-06-24,71300,0.05,30,PE,BFO-OPT,BFO
290885125,1136270,BANKEX25JUN71200PE,"BANKEX",0,2025-06-24,71200,0.05,30,PE,BFO-OPT,BFO
291163653,1137358,BANKEX25JUN71200CE,"BANKEX",0,2025-06-24,71200,0.05,30,CE,BFO-OPT,BFO
290898693,1136323,BANKEX25JUN71100CE,"BANKEX",0,2025-06-24,71100,0.05,30,CE,BFO-OPT,BFO
291136517,1137252,BANKEX25JUN71100PE,"BANKEX",0,2025-06-24,71100,0.05,30,PE,BFO-OPT,BFO
290859525,1136170,BANKEX25JUN71000PE,"BANKEX",0,2025-06-24,71000,0.05,30,PE,BFO-OPT,BFO
291145733,1137288,BANKEX25JUN71000CE,"BANKEX",0,2025-06-24,71000,0.05,30,CE,BFO-OPT,BFO
289425157,1130567,BANKEX25JUN70900CE,"BANKEX",0,2025-06-24,70900,0.05,30,CE,BFO-OPT,BFO
290169093,1133473,BANKEX25JUN70900PE,"BANKEX",0,2025-06-24,70900,0.05,30,PE,BFO-OPT,BFO
289123077,1129387,BANKEX25JUN70800PE,"BANKEX",0,2025-06-24,70800,0.05,30,PE,BFO-OPT,BFO
290267653,1133858,BANKEX25JUN70800CE,"BANKEX",0,2025-06-24,70800,0.05,30,CE,BFO-OPT,BFO
289214469,1129744,BANKEX25JUN70700CE,"BANKEX",0,2025-06-24,70700,0.05,30,CE,BFO-OPT,BFO
290000389,1132814,BANKEX25JUN70700PE,"BANKEX",0,2025-06-24,70700,0.05,30,PE,BFO-OPT,BFO
290088197,1133157,BANKEX25JUN70600CE,"BANKEX",0,2025-06-24,70600,0.05,30,CE,BFO-OPT,BFO
290630149,1135274,BANKEX25JUN70600PE,"BANKEX",0,2025-06-24,70600,0.05,30,PE,BFO-OPT,BFO
289059333,1129138,BANKEX25JUN70500CE,"BANKEX",0,2025-06-24,70500,0.05,30,CE,BFO-OPT,BFO
289790981,1131996,BANKEX25JUN70500PE,"BANKEX",0,2025-06-24,70500,0.05,30,PE,BFO-OPT,BFO
289908229,1132454,BANKEX25JUN70400CE,"BANKEX",0,2025-06-24,70400,0.05,30,CE,BFO-OPT,BFO
290536453,1134908,BANKEX25JUN70400PE,"BANKEX",0,2025-06-24,70400,0.05,30,PE,BFO-OPT,BFO
289504517,1130877,BANKEX25JUN70300PE,"BANKEX",0,2025-06-24,70300,0.05,30,PE,BFO-OPT,BFO
290620677,1135237,BANKEX25JUN70300CE,"BANKEX",0,2025-06-24,70300,0.05,30,CE,BFO-OPT,BFO
289624069,1131344,BANKEX25JUN70200CE,"BANKEX",0,2025-06-24,70200,0.05,30,CE,BFO-OPT,BFO
290381317,1134302,BANKEX25JUN70200PE,"BANKEX",0,2025-06-24,70200,0.05,30,PE,BFO-OPT,BFO
290454021,1134586,BANKEX25JUN70100CE,"BANKEX",0,2025-06-24,70100,0.05,30,CE,BFO-OPT,BFO
290668549,1135424,BANKEX25JUN70100PE,"BANKEX",0,2025-06-24,70100,0.05,30,PE,BFO-OPT,BFO
289394437,1130447,BANKEX25JUN70000CE,"BANKEX",0,2025-06-24,70000,0.05,30,CE,BFO-OPT,BFO
290148869,1133394,BANKEX25JUN70000PE,"BANKEX",0,2025-06-24,70000,0.05,30,PE,BFO-OPT,BFO
290144773,1133378,BANKEX25JUN69900CE,"BANKEX",0,2025-06-24,69900,0.05,30,CE,BFO-OPT,BFO
290636037,1135297,BANKEX25JUN69900PE,"BANKEX",0,2025-06-24,69900,0.05,30,PE,BFO-OPT,BFO
288776453,1128033,BANKEX25JUN69800CE,"BANKEX",0,2025-06-24,69800,0.05,30,CE,BFO-OPT,BFO
288858373,1128353,BANKEX25JUN69800PE,"BANKEX",0,2025-06-24,69800,0.05,30,PE,BFO-OPT,BFO
288659717,1127577,BANKEX25JUN69700CE,"BANKEX",0,2025-06-24,69700,0.05,30,CE,BFO-OPT,BFO
288741893,1127898,BANKEX25JUN69700PE,"BANKEX",0,2025-06-24,69700,0.05,30,PE,BFO-OPT,BFO
288754437,1127947,BANKEX25JUN69600CE,"BANKEX",0,2025-06-24,69600,0.05,30,CE,BFO-OPT,BFO
288833541,1128256,BANKEX25JUN69600PE,"BANKEX",0,2025-06-24,69600,0.05,30,PE,BFO-OPT,BFO
288717829,1127804,BANKEX25JUN69500PE,"BANKEX",0,2025-06-24,69500,0.05,30,PE,BFO-OPT,BFO
288848133,1128313,BANKEX25JUN69500CE,"BANKEX",0,2025-06-24,69500,0.05,30,CE,BFO-OPT,BFO
288728837,1127847,BANKEX25JUN69400CE,"BANKEX",0,2025-06-24,69400,0.05,30,CE,BFO-OPT,BFO
288809989,1128164,BANKEX25JUN69400PE,"BANKEX",0,2025-06-24,69400,0.05,30,PE,BFO-OPT,BFO
288535301,1127091,BANKEX25JUN69300PE,"BANKEX",0,2025-06-24,69300,0.05,30,PE,BFO-OPT,BFO
288823301,1128216,BANKEX25JUN69300CE,"BANKEX",0,2025-06-24,69300,0.05,30,CE,BFO-OPT,BFO
288705285,1127755,BANKEX25JUN69200CE,"BANKEX",0,2025-06-24,69200,0.05,30,CE,BFO-OPT,BFO
288783365,1128060,BANKEX25JUN69200PE,"BANKEX",0,2025-06-24,69200,0.05,30,PE,BFO-OPT,BFO
288796421,1128111,BANKEX25JUN69100CE,"BANKEX",0,2025-06-24,69100,0.05,30,CE,BFO-OPT,BFO
288881413,1128443,BANKEX25JUN69100PE,"BANKEX",0,2025-06-24,69100,0.05,30,PE,BFO-OPT,BFO
288524805,1127050,BANKEX25JUN69000CE,"BANKEX",0,2025-06-24,69000,0.05,30,CE,BFO-OPT,BFO
288764165,1127985,BANKEX25JUN69000PE,"BANKEX",0,2025-06-24,69000,0.05,30,PE,BFO-OPT,BFO
288548357,1127142,BANKEX25JUN68900PE,"BANKEX",0,2025-06-24,68900,0.05,30,PE,BFO-OPT,BFO
288837893,1128273,BANKEX25JUN68900CE,"BANKEX",0,2025-06-24,68900,0.05,30,CE,BFO-OPT,BFO
288558597,1127182,BANKEX25JUN68800CE,"BANKEX",0,2025-06-24,68800,0.05,30,CE,BFO-OPT,BFO
288629765,1127460,BANKEX25JUN68800PE,"BANKEX",0,2025-06-24,68800,0.05,30,PE,BFO-OPT,BFO
288528389,1127064,BANKEX25JUN68700PE,"BANKEX",0,2025-06-24,68700,0.05,30,PE,BFO-OPT,BFO
288643589,1127514,BANKEX25JUN68700CE,"BANKEX",0,2025-06-24,68700,0.05,30,CE,BFO-OPT,BFO
288539653,1127108,BANKEX25JUN68600CE,"BANKEX",0,2025-06-24,68600,0.05,30,CE,BFO-OPT,BFO
288606469,1127369,BANKEX25JUN68600PE,"BANKEX",0,2025-06-24,68600,0.05,30,PE,BFO-OPT,BFO
288619781,1127421,BANKEX25JUN68500CE,"BANKEX",0,2025-06-24,68500,0.05,30,CE,BFO-OPT,BFO
288702469,1127744,BANKEX25JUN68500PE,"BANKEX",0,2025-06-24,68500,0.05,30,PE,BFO-OPT,BFO
288518917,1127027,BANKEX25JUN68400CE,"BANKEX",0,2025-06-24,68400,0.05,30,CE,BFO-OPT,BFO
288588805,1127300,BANKEX25JUN68400PE,"BANKEX",0,2025-06-24,68400,0.05,30,PE,BFO-OPT,BFO
288598533,1127338,BANKEX25JUN68300CE,"BANKEX",0,2025-06-24,68300,0.05,30,CE,BFO-OPT,BFO
288679173,1127653,BANKEX25JUN68300PE,"BANKEX",0,2025-06-24,68300,0.05,30,PE,BFO-OPT,BFO
288295429,1126154,BANKEX25JUN68200PE,"BANKEX",0,2025-06-24,68200,0.05,30,PE,BFO-OPT,BFO
288382213,1126493,BANKEX25JUN68200CE,"BANKEX",0,2025-06-24,68200,0.05,30,CE,BFO-OPT,BFO
288304645,1126190,BANKEX25JUN68100CE,"BANKEX",0,2025-06-24,68100,0.05,30,CE,BFO-OPT,BFO
288357381,1126396,BANKEX25JUN68100PE,"BANKEX",0,2025-06-24,68100,0.05,30,PE,BFO-OPT,BFO
288367109,1126434,BANKEX25JUN68000CE,"BANKEX",0,2025-06-24,68000,0.05,30,CE,BFO-OPT,BFO
288416005,1126625,BANKEX25JUN68000PE,"BANKEX",0,2025-06-24,68000,0.05,30,PE,BFO-OPT,BFO
288384773,1126503,BANKEX25JUN67900PE,"BANKEX",0,2025-06-24,67900,0.05,30,PE,BFO-OPT,BFO
288472069,1126844,BANKEX25JUN67900CE,"BANKEX",0,2025-06-24,67900,0.05,30,CE,BFO-OPT,BFO
288390405,1126525,BANKEX25JUN67800CE,"BANKEX",0,2025-06-24,67800,0.05,30,CE,BFO-OPT,BFO
288442117,1126727,BANKEX25JUN67800PE,"BANKEX",0,2025-06-24,67800,0.05,30,PE,BFO-OPT,BFO
288254725,1125995,BANKEX25JUN67700PE,"BANKEX",0,2025-06-24,67700,0.05,30,PE,BFO-OPT,BFO
288450053,1126758,BANKEX25JUN67700CE,"BANKEX",0,2025-06-24,67700,0.05,30,CE,BFO-OPT,BFO
288376837,1126472,BANKEX25JUN67600CE,"BANKEX",0,2025-06-24,67600,0.05,30,CE,BFO-OPT,BFO
288424965,1126660,BANKEX25JUN67600PE,"BANKEX",0,2025-06-24,67600,0.05,30,PE,BFO-OPT,BFO
288431877,1126687,BANKEX25JUN67500CE,"BANKEX",0,2025-06-24,67500,0.05,30,CE,BFO-OPT,BFO
288497413,1126943,BANKEX25JUN67500PE,"BANKEX",0,2025-06-24,67500,0.05,30,PE,BFO-OPT,BFO
287986437,1124947,BANKEX25JUN67400PE,"BANKEX",0,2025-06-24,67400,0.05,30,PE,BFO-OPT,BFO
288211461,1125826,BANKEX25JUN67400CE,"BANKEX",0,2025-06-24,67400,0.05,30,CE,BFO-OPT,BFO
288009989,1125039,BANKEX25JUN67300CE,"BANKEX",0,2025-06-24,67300,0.05,30,CE,BFO-OPT,BFO
288152581,1125596,BANKEX25JUN67300PE,"BANKEX",0,2025-06-24,67300,0.05,30,PE,BFO-OPT,BFO
287690501,1123791,BANKEX25JUN67200PE,"BANKEX",0,2025-06-24,67200,0.05,30,PE,BFO-OPT,BFO
288176389,1125689,BANKEX25JUN67200CE,"BANKEX",0,2025-06-24,67200,0.05,30,CE,BFO-OPT,BFO
287962373,1124853,BANKEX25JUN67100CE,"BANKEX",0,2025-06-24,67100,0.05,30,CE,BFO-OPT,BFO
288108037,1125422,BANKEX25JUN67100PE,"BANKEX",0,2025-06-24,67100,0.05,30,PE,BFO-OPT,BFO
287653637,1123647,BANKEX25JUN67000PE,"BANKEX",0,2025-06-24,67000,0.05,30,PE,BFO-OPT,BFO
288133637,1125522,BANKEX25JUN67000CE,"BANKEX",0,2025-06-24,67000,0.05,30,CE,BFO-OPT,BFO
287762437,1124072,BANKEX25JUN66900CE,"BANKEX",0,2025-06-24,66900,0.05,30,CE,BFO-OPT,BFO
287885061,1124551,BANKEX25JUN66900PE,"BANKEX",0,2025-06-24,66900,0.05,30,PE,BFO-OPT,BFO
287711749,1123874,BANKEX25JUN66800PE,"BANKEX",0,2025-06-24,66800,0.05,30,PE,BFO-OPT,BFO
288198405,1125775,BANKEX25JUN66800CE,"BANKEX",0,2025-06-24,66800,0.05,30,CE,BFO-OPT,BFO
287726853,1123933,BANKEX25JUN66700CE,"BANKEX",0,2025-06-24,66700,0.05,30,CE,BFO-OPT,BFO
287843845,1124390,BANKEX25JUN66700PE,"BANKEX",0,2025-06-24,66700,0.05,30,PE,BFO-OPT,BFO
287678981,1123746,BANKEX25JUN66600PE,"BANKEX",0,2025-06-24,66600,0.05,30,PE,BFO-OPT,BFO
287865861,1124476,BANKEX25JUN66600CE,"BANKEX",0,2025-06-24,66600,0.05,30,CE,BFO-OPT,BFO
287697669,1123819,BANKEX25JUN66500CE,"BANKEX",0,2025-06-24,66500,0.05,30,CE,BFO-OPT,BFO
287806981,1124246,BANKEX25JUN66500PE,"BANKEX",0,2025-06-24,66500,0.05,30,PE,BFO-OPT,BFO
287826693,1124323,BANKEX25JUN66400CE,"BANKEX",0,2025-06-24,66400,0.05,30,CE,BFO-OPT,BFO
287957765,1124835,BANKEX25JUN66400PE,"BANKEX",0,2025-06-24,66400,0.05,30,PE,BFO-OPT,BFO
287661829,1123679,BANKEX25JUN66300CE,"BANKEX",0,2025-06-24,66300,0.05,30,CE,BFO-OPT,BFO
287773701,1124116,BANKEX25JUN66300PE,"BANKEX",0,2025-06-24,66300,0.05,30,PE,BFO-OPT,BFO
287793669,1124194,BANKEX25JUN66200CE,"BANKEX",0,2025-06-24,66200,0.05,30,CE,BFO-OPT,BFO
287924485,1124705,BANKEX25JUN66200PE,"BANKEX",0,2025-06-24,66200,0.05,30,PE,BFO-OPT,BFO
287739141,1123981,BANKEX25JUN66100PE,"BANKEX",0,2025-06-24,66100,0.05,30,PE,BFO-OPT,BFO
287943941,1124781,BANKEX25JUN66100CE,"BANKEX",0,2025-06-24,66100,0.05,30,CE,BFO-OPT,BFO
287756549,1124049,BANKEX25JUN66000CE,"BANKEX",0,2025-06-24,66000,0.05,30,CE,BFO-OPT,BFO
287879173,1124528,BANKEX25JUN66000PE,"BANKEX",0,2025-06-24,66000,0.05,30,PE,BFO-OPT,BFO
287341317,1122427,BANKEX25JUN65900CE,"BANKEX",0,2025-06-24,65900,0.05,30,CE,BFO-OPT,BFO
287494149,1123024,BANKEX25JUN65900PE,"BANKEX",0,2025-06-24,65900,0.05,30,PE,BFO-OPT,BFO
287533317,1123177,BANKEX25JUN65800PE,"BANKEX",0,2025-06-24,65800,0.05,30,PE,BFO-OPT,BFO
287549445,1123240,BANKEX25JUN65800CE,"BANKEX",0,2025-06-24,65800,0.05,30,CE,BFO-OPT,BFO
287443717,1122827,BANKEX25JUN65700PE,"BANKEX",0,2025-06-24,65700,0.05,30,PE,BFO-OPT,BFO
287581701,1123366,BANKEX25JUN65700CE,"BANKEX",0,2025-06-24,65700,0.05,30,CE,BFO-OPT,BFO
287335173,1122403,BANKEX25JUN65600PE,"BANKEX",0,2025-06-24,65600,0.05,30,PE,BFO-OPT,BFO
287481349,1122974,BANKEX25JUN65600CE,"BANKEX",0,2025-06-24,65600,0.05,30,CE,BFO-OPT,BFO
283638021,1107961,BANKEX25JUN65500CE,"BANKEX",0,2025-06-24,65500,0.05,30,CE,BFO-OPT,BFO
283645189,1107989,BANKEX25JUN65500PE,"BANKEX",0,2025-06-24,65500,0.05,30,PE,BFO-OPT,BFO
283617029,1107879,BANKEX25JUN65400PE,"BANKEX",0,2025-06-24,65400,0.05,30,PE,BFO-OPT,BFO
283646469,1107994,BANKEX25JUN65400CE,"BANKEX",0,2025-06-24,65400,0.05,30,CE,BFO-OPT,BFO
283618053,1107883,BANKEX25JUN65300CE,"BANKEX",0,2025-06-24,65300,0.05,30,CE,BFO-OPT,BFO
283643397,1107982,BANKEX25JUN65300PE,"BANKEX",0,2025-06-24,65300,0.05,30,PE,BFO-OPT,BFO
283644165,1107985,BANKEX25JUN65200CE,"BANKEX",0,2025-06-24,65200,0.05,30,CE,BFO-OPT,BFO
283652869,1108019,BANKEX25JUN65200PE,"BANKEX",0,2025-06-24,65200,0.05,30,PE,BFO-OPT,BFO
283625477,1107912,BANKEX25JUN65100PE,"BANKEX",0,2025-06-24,65100,0.05,30,PE,BFO-OPT,BFO
283653381,1108021,BANKEX25JUN65100CE,"BANKEX",0,2025-06-24,65100,0.05,30,CE,BFO-OPT,BFO
283642629,1107979,BANKEX25JUN65000CE,"BANKEX",0,2025-06-24,65000,0.05,30,CE,BFO-OPT,BFO
283651077,1108012,BANKEX25JUN65000PE,"BANKEX",0,2025-06-24,65000,0.05,30,PE,BFO-OPT,BFO
283620357,1107892,BANKEX25JUN64900CE,"BANKEX",0,2025-06-24,64900,0.05,30,CE,BFO-OPT,BFO
283629829,1107929,BANKEX25JUN64900PE,"BANKEX",0,2025-06-24,64900,0.05,30,PE,BFO-OPT,BFO
283630341,1107931,BANKEX25JUN64800CE,"BANKEX",0,2025-06-24,64800,0.05,30,CE,BFO-OPT,BFO
283637509,1107959,BANKEX25JUN64800PE,"BANKEX",0,2025-06-24,64800,0.05,30,PE,BFO-OPT,BFO
283161349,1106099,BANKEX25JUN64700CE,"BANKEX",0,2025-06-24,64700,0.05,30,CE,BFO-OPT,BFO
283251717,1106452,BANKEX25JUN64700PE,"BANKEX",0,2025-06-24,64700,0.05,30,PE,BFO-OPT,BFO
283268869,1106519,BANKEX25JUN64600CE,"BANKEX",0,2025-06-24,64600,0.05,30,CE,BFO-OPT,BFO
283370245,1106915,BANKEX25JUN64600PE,"BANKEX",0,2025-06-24,64600,0.05,30,PE,BFO-OPT,BFO
283222533,1106338,BANKEX25JUN64500PE,"BANKEX",0,2025-06-24,64500,0.05,30,PE,BFO-OPT,BFO
283388933,1106988,BANKEX25JUN64500CE,"BANKEX",0,2025-06-24,64500,0.05,30,CE,BFO-OPT,BFO
283236357,1106392,BANKEX25JUN64400CE,"BANKEX",0,2025-06-24,64400,0.05,30,CE,BFO-OPT,BFO
283339781,1106796,BANKEX25JUN64400PE,"BANKEX",0,2025-06-24,64400,0.05,30,PE,BFO-OPT,BFO
283356677,1106862,BANKEX25JUN64300CE,"BANKEX",0,2025-06-24,64300,0.05,30,CE,BFO-OPT,BFO
283450629,1107229,BANKEX25JUN64300PE,"BANKEX",0,2025-06-24,64300,0.05,30,PE,BFO-OPT,BFO
283211013,1106293,BANKEX25JUN64200CE,"BANKEX",0,2025-06-24,64200,0.05,30,CE,BFO-OPT,BFO
283310597,1106682,BANKEX25JUN64200PE,"BANKEX",0,2025-06-24,64200,0.05,30,PE,BFO-OPT,BFO
283324677,1106737,BANKEX25JUN64100CE,"BANKEX",0,2025-06-24,64100,0.05,30,CE,BFO-OPT,BFO
283424261,1107126,BANKEX25JUN64100PE,"BANKEX",0,2025-06-24,64100,0.05,30,PE,BFO-OPT,BFO
283184389,1106189,BANKEX25JUN64000CE,"BANKEX",0,2025-06-24,64000,0.05,30,CE,BFO-OPT,BFO
283279621,1106561,BANKEX25JUN64000PE,"BANKEX",0,2025-06-24,64000,0.05,30,PE,BFO-OPT,BFO
283377157,1106942,BANKEX25JUN63900CE,"BANKEX",0,2025-06-24,63900,0.05,30,CE,BFO-OPT,BFO
283469573,1107303,BANKEX25JUN63900PE,"BANKEX",0,2025-06-24,63900,0.05,30,PE,BFO-OPT,BFO
283483653,1107358,BANKEX25JUN63800CE,"BANKEX",0,2025-06-24,63800,0.05,30,CE,BFO-OPT,BFO
283574533,1107713,BANKEX25JUN63800PE,"BANKEX",0,2025-06-24,63800,0.05,30,PE,BFO-OPT,BFO
283442181,1107196,BANKEX25JUN63700PE,"BANKEX",0,2025-06-24,63700,0.05,30,PE,BFO-OPT,BFO
281820421,1100861,BANKEX25JUN62100CE,"BANKEX",0,2025-06-24,62100,0.05,30,CE,BFO-OPT,BFO
281853445,1100990,BANKEX25JUN62100PE,"BANKEX",0,2025-06-24,62100,0.05,30,PE,BFO-OPT,BFO
281858309,1101009,BANKEX25JUN62000CE,"BANKEX",0,2025-06-24,62000,0.05,30,CE,BFO-OPT,BFO
281890565,1101135,BANKEX25JUN62000PE,"BANKEX",0,2025-06-24,62000,0.05,30,PE,BFO-OPT,BFO
281801477,1100787,BANKEX25JUN61900PE,"BANKEX",0,2025-06-24,61900,0.05,30,PE,BFO-OPT,BFO
281919749,1101249,BANKEX25JUN61900CE,"BANKEX",0,2025-06-24,61900,0.05,30,CE,BFO-OPT,BFO
281875205,1101075,BANKEX25JUN61800CE,"BANKEX",0,2025-06-24,61800,0.05,30,CE,BFO-OPT,BFO
281906181,1101196,BANKEX25JUN61800PE,"BANKEX",0,2025-06-24,61800,0.05,30,PE,BFO-OPT,BFO
281792773,1100753,BANKEX25JUN61700PE,"BANKEX",0,2025-06-24,61700,0.05,30,PE,BFO-OPT,BFO
281910021,1101211,BANKEX25JUN61700CE,"BANKEX",0,2025-06-24,61700,0.05,30,CE,BFO-OPT,BFO
281796357,1100767,BANKEX25JUN61600CE,"BANKEX",0,2025-06-24,61600,0.05,30,CE,BFO-OPT,BFO
281897477,1101162,BANKEX25JUN61600PE,"BANKEX",0,2025-06-24,61600,0.05,30,PE,BFO-OPT,BFO
281902341,1101181,BANKEX25JUN61500CE,"BANKEX",0,2025-06-24,61500,0.05,30,CE,BFO-OPT,BFO
281933317,1101302,BANKEX25JUN61500PE,"BANKEX",0,2025-06-24,61500,0.05,30,PE,BFO-OPT,BFO
281887493,1101123,BANKEX25JUN61400PE,"BANKEX",0,2025-06-24,61400,0.05,30,PE,BFO-OPT,BFO
281937413,1101318,BANKEX25JUN61400CE,"BANKEX",0,2025-06-24,61400,0.05,30,CE,BFO-OPT,BFO
281893125,1101145,BANKEX25JUN61300CE,"BANKEX",0,2025-06-24,61300,0.05,30,CE,BFO-OPT,BFO
281924613,1101268,BANKEX25JUN61300PE,"BANKEX",0,2025-06-24,61300,0.05,30,PE,BFO-OPT,BFO
281810437,1100822,BANKEX25JUN61200PE,"BANKEX",0,2025-06-24,61200,0.05,30,PE,BFO-OPT,BFO
281928965,1101285,BANKEX25JUN61200CE,"BANKEX",0,2025-06-24,61200,0.05,30,CE,BFO-OPT,BFO
281883653,1101108,BANKEX25JUN61100CE,"BANKEX",0,2025-06-24,61100,0.05,30,CE,BFO-OPT,BFO
281913349,1101224,BANKEX25JUN61100PE,"BANKEX",0,2025-06-24,61100,0.05,30,PE,BFO-OPT,BFO
